merchant_code,active_months,monthly_average_transaction,projectedValue,lastActive
M00001270_0006,1,0.1000,None,2017-02-09 10:41:26
M00001457,1,0.1100,None,2017-02-07 07:51:14
M00001047,6,0.04833333333333333333333333333,None,2017-02-16 11:42:33
M00001049,4,0.2050,"<100,000",2017-02-10 13:00:15
M00000012,10,0.0860,None,2016-05-19 20:25:07
M00000838_0001,2,0.4600,None,2016-10-10 09:32:17
M00000897,3,4.303333333333333333333333333,"<100,000",2016-10-27 12:52:01
M00001270,4,3.9825,"$100,000 > $500,000",2017-02-16 11:55:01
M00000862,2,8.0050,None,2016-07-08 17:28:46
M00001300,3,24.0000,"$100,000 > $500,000",2016-12-02 12:50:44
M00000014,11,8.090909090909090909090909091,None,2016-07-08 17:04:01
M00000007,14,21.21857142857142857142857143,None,2016-10-27 11:42:34
M00000002_0006,1,330.4500,None,2017-01-23 09:31:03
M00000870,1,623.8200,None,2017-01-27 09:17:05
M00000800,8,103.7500,"<100,000",2016-08-10 08:50:16
M00000114,1,1001.0000,"$500,000 > $5M",2016-12-14 12:04:12
M00001022,5,232.3580,"<100,000",2017-02-07 04:41:01
M00001272,2,799.3450,"<100,000",2017-01-24 18:29:04
M00000004,11,244.2272727272727272727272727,>$10M,2017-01-16 10:36:01
M00000002,15,226.4560,"<100,000",2017-01-23 09:19:02
M00000308,1,11681.0100,None,2016-07-08 18:21:13
M00000992,1,29095.9800,"$100,000 > $500,000",2017-01-23 11:41:26
M00000687,8,5630.6975,"$100,000 > $500,000",2017-01-30 18:16:57
M00000001,11,4168.237272727272727272727273,None,2016-11-04 06:34:44
M00001154,3,32172.38333333333333333333333,"<100,000",2017-01-30 19:59:05
M00000838,4,29777.2375,"$100,000 > $500,000",2017-02-16 09:42:06
M00000980,4,39655.5650,"$100,000 > $500,000",2017-01-25 20:10:29
M00001005,4,40062.0350,"<100,000",2017-01-30 19:58:38
M00000950,3,181644.8166666666666666666667,"$100,000 > $500,000",2017-01-30 22:40:29
M00000782,9,189436.6011111111111111111111,"<100,000",2017-01-30 18:55:38
